"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_hit_by_pitch","xba","xslg","sl_avg_speed","sl_avg_spin","ch_avg_speed","ch_avg_spin","cu_avg_speed","cu_avg_spin","si_avg_speed","si_avg_spin"
"Nova, Iván","467100","2019","806","30",14.1,5.8,"9",".295",".477",,,"86.2","2000","79.9","2258","92.3","2162"
"Anderson, Brett","474463","2019","743","20",12.1,6.6,"4",".283",".480","81.9","2384","82.6","1481","75.6","2393","90.7","1799"
"Kershaw, Clayton","477132","2019","706","28",26.8,5.8,"2",".230",".393","86.9","2668","85.2","2210","73.5","2463",,
"Cashner, Andrew","488768","2019","636","19",17,9.1,"4",".262",".466","85.7","2255","84.5","1545","80.6","2349","91.9","2048"
"Miley, Wade","489119","2019","720","23",19.4,8.5,"5",".245",".383","81.7","2398","81.2","1869","75.6","2428","89.5","2056"
"Quintana, Jose","500779","2019","745","20",20.4,6.2,"2",".273",".434",,,"86.5","1287","76.9","2211","91.3","1978"
"Pineda, Michael","501381","2019","600","23",23.3,4.7,"5",".252",".443","83.9","2012","87.1","1864",,,"91.9","1953"
"Minor, Mike","501985","2019","863","30",23.2,7.9,"7",".228",".389","86.4","2737","86.2","2287","80.7","2534",,
"Archer, Chris","502042","2019","526","25",27.2,10.5,"4",".259",".476","88.7","2613","87.7","1642","82.3","2678","93.9","2239"
"Gibson, Kyle","502043","2019","706","23",22.7,7.9,"7",".269",".437","84.1","2469","85.3","1660","80.1","2482","93.2","2098"
"Samardzija, Jeff","502188","2019","740","28",18.9,6.6,"6",".253",".465","84.6","2449",,,"76.3","2498","92.2","2480"
"Leake, Mike","502190","2019","835","41",15.2,3.2,"10",".294",".519","80.3","2506","84","1719","79.3","2572","88.3","2023"
"Anderson, Chase","502624","2019","592","23",20.9,8.4,"8",".244",".421",,,"82.7","2311","77.8","2171","93.3","2167"
"Darvish, Yu","506433","2019","731","33",31.3,7.7,"11",".223",".398","86.2","2694","82.3","1234","77.1","2617","94.1","2480"
"Bumgarner, Madison","518516","2019","844","30",24.1,5.1,"10",".254",".459",,,"84.2","1638","78.8","2645","92.2","2400"
"Duffy, Danny","518633","2019","555","21",20.7,8.3,"8",".260",".467","84","2310","83.8","2295","76.1","2346","92.1","2181"
"Kelly, Merrill","518876","2019","777","29",20.3,7.3,"2",".271",".493",,,"86","2108","80.6","2683","91.5","2313"
"Porcello, Rick","519144","2019","768","31",18.6,5.9,"6",".263",".482","84.3","2555","80.8","1600","74.9","2810","89.5","2289"
"Sale, Chris","519242","2019","612","24",35.6,6,"13",".213",".380","79","2492","85.2","1965",,,"92.2","2293"
"Zimmermann, Jordan","519455","2019","504","19",16.3,5,"6",".297",".522","85.8","2288","87.1","1708","80.2","2372","90.3","2201"
"Pérez, Martín","527048","2019","737","23",18.3,9.1,"3",".245",".385",,,"85.3","1795","79.2","2637","93.9","2051"
"Teheran, Julio","527054","2019","754","22",21.5,11,"14",".240",".416","82.2","2603","83.6","1704","74.8","2762","89.3","2264"
"Cole, Gerrit","543037","2019","817","29",39.9,5.9,"3",".181",".315","89.2","2622","88.6","1870","82.6","2901","97.1","2508"
"DeSclafani, Anthony","543101","2019","696","29",24,7,"4",".233",".401","89.4","2315","88.5","1535","83.3","2048","94.5","2086"
"Gray, Sonny","543243","2019","708","17",29,9.6,"7",".209",".354","84.4","2788","89.8","2040","81.9","2991","93.2","2451"
"Hendricks, Kyle","543294","2019","730","19",20.5,4.4,"9",".248",".393",,,"78.6","2115","71.4","2784","86.7","1959"
"Lyles, Jordan","543475","2019","599","25",24.4,9.2,"1",".233",".426","87.5","2333","85.6","1549","80.6","2491","91.7","2135"
"Odorizzi, Jake","543606","2019","658","16",27.1,8.1,"4",".230",".400",,,,,"75.4","2253",,
"Roark, Tanner","543699","2019","722","28",21.9,7.1,"13",".269",".466","86.3","2255","84.1","1701","75.7","2746","91.9","2087"
"Strasburg, Stephen","544931","2019","841","24",29.8,6.7,"10",".211",".337","87.8","2250","87.7","1679","81.2","2773","93.7","2129"
"Bauer, Trevor","545333","2019","911","34",27.8,9,"19",".223",".402",,,"86","1704","79.1","2548","94.8","2343"
"Tanaka, Masahiro","547888","2019","759","28",19.6,5.3,"2",".261",".434","83.3","2391",,,"76.1","2391","90.4","1916"
"Ryu, Hyun Jin","547943","2019","723","17",22.5,3.3,"4",".249",".370","80.7","2337","80","1487","72.7","2573","90.1","2021"
"Wheeler, Zack","554430","2019","828","22",23.6,6,"2",".245",".393",,,"88.9","1827","80.7","2648","96.5","2256"
"Boyd, Matthew","571510","2019","788","39",30.2,6.3,"8",".224",".412","79.6","2377","79.1","1959","72.2","2248","90.3","2356"
"Corbin, Patrick","571578","2019","835","24",28.5,8.4,"3",".228",".414","81.7","2398","81.8","1646","67.8","1989","91.8","2195"
"Fiers, Mike","571666","2019","754","30",16.7,7,"9",".260",".463","85.8","2481","84.1","1933","74","2781","90.2","2256"
"Matz, Steven","571927","2019","691","27",22.1,7.5,"7",".255",".450","89.5","2069","84.3","2301","78.5","2448","93.3","2102"
"Mikolas, Miles","571945","2019","764","27",18.8,4.2,"12",".278",".451","87","2327","87.7","1667","78.3","2588","93.4","2229"
"Paxton, James","572020","2019","633","23",29.4,8.7,"2",".221",".379",,,"86.2","2073","81.1","2013",,
"Stroman, Marcus","573186","2019","774","18",20.5,7.5,"1",".242",".370",,,"87","1927","75.2","2681","92.5","2345"
"Kikuchi, Yusei","579328","2019","721","36",16.1,6.9,"6",".278",".477","86","2220","84.5","1772","75","2527",,
"Gray, Jon","592351","2019","637","19",23.5,8.8,"4",".268",".426","88.3","2220","86.7","1559","78.6","2518","95.4","1799"
"Ray, Robbie","592662","2019","747","30",31.5,11.2,"5",".228",".428","84.2","2145",,,"81.6","2045","92.2","2182"
"Sampson, Adrian","592716","2019","563","29",17.9,6.4,"9",".293",".540","83.9","2595","87.4","1856","79.3","2516","92.5","2016"
"Sanchez, Aaron","592717","2019","605","20",19,11.2,"11",".261",".435",,,"88","1811","78.4","2841","93.8","2241"
"Smith, Caleb","592761","2019","646","33",26,9.3,"6",".226",".460","83.5","2297","82.6","1918",,,,
"Smyly, Drew","592767","2019","514","32",23.3,10.7,"2",".262",".516",,,"82.4","1187","77.4","1950","91.2","2084"
"Syndergaard, Noah","592789","2019","824","24",24.5,5.9,"6",".230",".365","89.1","2178","91.1","1687","80.4","2275","97.5","2106"
"Velasquez, Vince","592826","2019","516","26",25.2,8.3,"9",".248",".466","86.4","2467",,,"83.1","2475","92","2025"
"Williams, Trevor","592866","2019","636","27",17.8,6.9,"7",".271",".478","82.9","2202","83.6","1814","76.7","2259","89.6","1937"
"Germán, Domingo","593334","2019","594","30",25.8,6.6,"5",".243",".444",,,"87","2414","81.7","2599","94","2420"
"Rodriguez, Eduardo","593958","2019","859","24",24.8,8.7,"7",".223",".375","85.2","2211","87.7","2049","82.4","2285","93","2142"
"deGrom, Jacob","594798","2019","804","19",31.7,5.5,"7",".201",".319","92.5","2454","90.3","1702","84.3","2567","96.7","2281"
"Gonzales, Marco","594835","2019","866","23",17,6.5,"6",".254",".407",,,"81.2","2171","76.3","2346",,
"Beede, Tyler","595881","2019","523","22",21.6,8.8,"5",".263",".471","86.3","2199","83.9","1600","80.3","2292","95.6","2260"
"Junis, Jakob","596001","2019","771","31",21.3,7.5,"11",".270",".480","82.4","2522","84.6","1336","79.3","2421","91","1923"
"Norris, Daniel","596057","2019","610","25",20.5,6.2,"4",".265",".475","84.3","2512","85.7","1568","75.8","2536","90.3","2231"
"Bassitt, Chris","605135","2019","612","21",23,7.7,"13",".232",".387","79.2","2313","85","2057","70.3","2238","93.2","2146"
"Bundy, Dylan","605164","2019","700","29",23.1,8.3,"6",".239",".404","81.1","2573","83.4","1569","74.8","2404","91.3","2288"
"Davies, Zach","605200","2019","672","20",15.2,7.6,"2",".276",".464","80.4","2426","80","1785","75.5","2636","88.4","2233"
"López, Jorge","605347","2019","548","27",19.9,7.7,"10",".271",".511","88.4","2199","87.5","1574","81.7","2450","93.8","1878"
"Musgrove, Joe","605397","2019","718","21",21.9,5.4,"9",".250",".424","83.2","2495","85.3","2001","82.1","2575","91.5","2278"
"Nola, Aaron","605400","2019","852","27",26.9,9.4,"11",".235",".394",,,"85.8","1570","79.1","2574","92.2","2132"
"Turnbull, Spencer","605513","2019","656","14",22.3,9,"16",".251",".419","86.5","2438","86.6","1810","80.3","2571","94.1","2188"
"Means, John","607644","2019","637","23",19,6,"5",".236",".417","83.6","2324","80.9","2331","77","2239",,
"Fried, Max","608331","2019","702","21",24.6,6.7,"5",".247",".379","83.7","2562","84.8","1514","74.5","2844","93.6","1988"
"Giolito, Lucas","608337","2019","705","24",32.3,8.1,"4",".214",".368","84.6","2036","81.7","1563","79.4","2512",,
"Wacha, Michael","608379","2019","561","26",18.5,9.6,"3",".276",".490",,,"85.5","1606","75.3","2066","93.2","1940"
"Márquez, Germán","608566","2019","721","29",24.3,4.9,"5",".270",".458","87.4","2371","87.8","1969","84.9","2693","94.7","2171"
"Eflin, Zach","621107","2019","705","28",18.3,6.8,"6",".247",".415","87.1","2247","86.7","1787","77.9","2416","93.1","2090"
"Buehler, Walker","621111","2019","737","20",29.2,5,"7",".228",".369","86.8","2867","91.6","1516","80.7","2915","96.6","2346"
"Berríos, José","621244","2019","842","26",23.2,6.1,"9",".245",".416",,,"82.5","1705","73.1","2189","92.1","2110"
"Castillo, Luis","622491","2019","780","22",29,10,"7",".204",".327","85.9","2330","87.2","1972",,,"96.5","2073"
"Senzatela, Antonio","622608","2019","582","19",13.1,9.8,"4",".296",".478","84.4","2136","87","2059","78.8","2214",,
"López, Reynaldo","625643","2019","809","35",20.9,8,"8",".259",".470","84.4","2120","84","1609","78.3","2084",,
"Maeda, Kenta","628317","2019","624","22",27.1,8.2,"4",".214",".342","83.5","2525",,,"77.1","2685","91.9","2228"
"Chirinos, Yonny","630023","2019","530","23",21.5,5.3,"3",".256",".451","87.5","2335",,,,,"93.9","2278"
"Hudson, Dakota","641712","2019","757","22",18,11.4,"9",".263",".421","87.4","2430","88.1","1459","81.9","2196","93.5","2134"
"Keller, Brad","641745","2019","709","15",17.2,9.9,"9",".257",".415","84.9","2510","88","1706",,,"92.9","2103"
